amenities,ciudad,descripcion,direccion,nombre,precio,valoracion
"Paid public parking nearby,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Patio,Pets Allowed ( Dog / Pet Friendly ),Paid wifi,Pool / beach towels,Indoor pool,Heated pool,Fitness classes,Personal trainer,Restaurant,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Outdoor dining area,Vending machine,Nightclub / DJ,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Convenience store,Non-smoking hotel,Outdoor furniture,Sun deck,ATM on site,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Room service,Safe,Cable / satellite TV,Flatscreen TV,Bath / shower,Complimentary toiletries,Seating area,Sofa,Telephone,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,On-demand movies,Radio,iPod docking station,Hair dryer,City view,Landmark view,Non-smoking rooms,Suites",Chicago,"See the Gold Coast of Chicago like never before at W Chicago - Lakeshore. From our perfect location on Lake Shore Drive, our hotel provides unlimited access to the best of Chicago, Illinois. During your stay in one of 520 sleek hotel rooms and suites, you can enjoy waterfront views that are absolutely unrivaled while you plan your next adventure. Meanwhile, stay active with the latest workout equipment at FIT or make a splash at WET®, our heated indoor pool. When hunger catches up to you during your visit, beat it like never before with seasonally inspired American cuisine at CURRENT, our hotel restaurant. Socialize over cocktails at the Living Room, the place to see and be seen on the Gold Coast. Celebrate and succeed in dynamic event space, from intimate meeting rooms to the stunning 33rd-floor Altitude, overlooking the shores of Lake Michigan. Whatever brings you here, W Chicago - Lakeshore is ready to help you keep it fun.,HOTEL STYLE,Harbor View,Trendy","644 N Lake Shore Dr, Chicago, IL 60611-3017",W Chicago - Lakeshore,"€250,€224",4.0
"Valet parking,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Paid private parking on-site,Paid wifi,Hot tub,Indoor pool,Heated pool,Fitness / spa locker rooms,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Conference facilities,Banquet room,Meeting rooms,Spa,24-hour security,Baggage storage,Concierge,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Room service,Safe,VIP room facilities,Flatscreen TV,On-demand movies,Non-smoking rooms,Suites,Smoking rooms available",Chicago,"HOTEL STYLE,Park View,Classic","720 South Michigan Avenue, Chicago, IL 60605-2116",Hilton Chicago,€304,4.0
"Parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Meeting rooms,Spa,Wifi,Restaurant,Baggage storage,Non-smoking hotel,24-hour front desk,Laundry service,Air conditioning,Desk,Safe,Telephone,Wardrobe / closet,Iron,Non-smoking rooms,Suites",Chicago,"Expect the unexpected in the Windy City . Located just steps from the famous Michigan Avenue Shopping district, Millennium Park, and renowned museums in downtown Chicago, contemporary art will surround and inspire you at 21c Museum Hotel Chicago. Discover a new kind of cultural and travel experience with this multi-venue museum and boutique hotel.,HOTEL STYLE,Mid-range","55 E Ontario St, Chicago, IL 60611-2727",21c Museum Hotel Chicago,"€202,€168",4.0
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Paid private parking on-site,Parking,Wifi,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Vending machine,Free shuttle or taxi services,Airport transportation,Business Center with Internet Access,Baggage storage,Non-smoking hotel,24-hour front desk,Express check-in / check-out,Self-serve laundry,Air conditioning,Desk,Housekeeping,Iron,Coffee / tea maker,Microwave,Cable / satellite TV,Bath / shower,Private bathrooms,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms",Chicago,"The Carlton Inn Midway offers great hospitality as well as clean & comfortable non-smoking rooms. Complimentary amenities include 24/365 free local (and MDW airport) shuttle, in-room wifi, breakfast, parking, fitness center, business center, in-room fridge & microwave, and premium movie channels. We are located 1.8 miles from Midway Airport. Whether you are in Chicago for a convention at McCormick Place or Shopping the Magnificent Mile we are 7 miles from the downtown area, with easy driving access via I-55 and we are around the corner from the Orange Line Elevated Train- which is just a 15-minute train ride to downtown. Our neighborhood has plenty of food options from popular chains to local ethnic restaurants. We'd love to assist you in getting the most out of your Chicago stay!,HOTEL STYLE,Value,Family","4944 S Archer Ave, Chicago, IL 60632-3623",Carlton Inn Midway,"€117,€106",4.5
"Parking garage,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Spa,Paid wifi,Rooftop pool,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Convenience store,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Safe,Iron,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Smoking rooms available",Chicago,"HOTEL STYLE,Family,Mid-range","300 E. Ohio Street, Chicago, IL 60611",DoubleTree by Hilton Hotel Chicago - Magnificent Mile,"€252,€215",4.0
"Parking garage,Free High Speed Internet (WiFi),Coffee shop,Table tennis,Board games / puzzles,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Wifi,Complimentary welcome drink,Meeting rooms,Baggage storage,Non-smoking hotel,Shared kitchen,Shared lounge / TV area,Express check-in / check-out,Clothes dryer,Laundry service,Self-serve laundry,Washing machine,Air conditioning,Desk,Housekeeping,Telephone,Kitchenette,Cable / satellite TV,Flatscreen TV,Walk-in shower,Wardrobe / closet,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites,Family rooms",Chicago,"Discover Chicago's trendy, cultural hub of eclectic art galleries, boutique shops, restaurants and nightlife from our pet friendly 4-Star boutique River North/Magnificent Mile Hotel. Perfect for business, leisure, extended stays and group travel! Experience the finest Chicago hospitality where our Concierge Team will attend to your every need. Our rooms have smart design features that maximize your space and only give you what you desire. Post your lively adventures in Chicago's River North district and Magnificent Mile to your story using our free Wi-Fi . Unwind after a fun-filled night in downtown on our cozy beds with plush linens and fluffy pillows . Select hotel suites feature loft-style bunk beds, making sleepovers and family getaways extra playful. Did we mention we're pet friendly? Your furry family members are welcome to stay with us and there's a nice dog park across the street.,HOTEL STYLE,Trendy","312 W Chestnut St, Chicago, IL 60610-3004",The Chicago Hotel Collection River North,€95,4.5
"Valet parking,Free internet,Coffee shop,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Baggage storage,Non-smoking hotel,24-hour check-in,Wifi,Breakfast available,Complimentary Instant Coffee,Outdoor dining area,Vending machine,24-hour front desk,Express check-in / check-out,Clothes dryer,Laundry service,Self-serve laundry,Washing machine,Allergy-free room,Blackout curtains,Air conditioning,Housekeeping,Safe,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Telephone,Laptop safe,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Bath / shower,Complimentary toiletries,Hair dryer,Non-smoking rooms",Chicago,"For the urban nomad, Hotel Saint Clair offers a fresh, modern, and inspiring gateway to downtown Chicago’s most exciting and desirable experiences. Within “a whisper of the Magnificent Mile,” our boutique hotel rising 16 stories into the Windy City skyline has been reimagined into a unique and approachable retreat.,HOTEL STYLE,Centrally Located","162 E Ontario St, Chicago, IL 60611-2809",Hotel Saint Clair- Magnificent Mile,€140,4.5
"Paid public parking nearby,Free internet,Fitness Center with Gym / Workout Room,Taxi service,Conference facilities,Banquet room,Spa,24-hour security,Parking,Wifi,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Flatscreen TV,Bath / shower,Room service,Safe,Telephone,Wardrobe / closet,Iron,Laptop safe,Tile / marble floor,Wake-up service / alarm clock,Minibar,Refrigerator,Complimentary toiletries,Hair dryer,City view,Bridal suite,Non-smoking rooms,Suites",Chicago,"Millennium Knickerbocker Hotel Chicago is the epitome of classic Chicago style, located near Magnificent Mile in downtown Chicago - a famous stretch that's home to over 400 retailers and high-end shops. Established in 1927, this historic hotel in Chicago has had many identities, including a Penthouse casino and speakeasy once run by the Capone family. You'll find markers of this iconic history all around the hotel as the old world meets the new.,HOTEL STYLE,Classic,Historic Hotel","163 East Walton Place, Chicago, IL 60611",Millennium Knickerbocker Hotel Chicago,€91,4.0
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Nightclub / DJ,Business Center with Internet Access,Conference facilities,Paid private parking on-site,Paid wifi,Sauna,Restaurant,Breakfast in the room,Rooftop bar,Banquet room,Meeting rooms,Spa,Massage,Rooftop terrace,24-hour security,Baggage storage,Concierge,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Room service,Safe,Iron,Refrigerator,Flatscreen TV,On-demand movies,Non-smoking rooms,Suites,Family rooms",Chicago,"HOTEL STYLE,Modern,Trendy","201 N. State Street, Chicago, IL 60601-2402",theWit Chicago - a DoubleTree by Hilton Hotel,€246,4.5
"Valet parking,Free internet,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Pets Allowed ( Dog / Pet Friendly ),Conference facilities,Banquet room,Paid private parking on-site,Wifi,Restaurant,Breakfast available,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Doorperson,24-hour front desk,Express check-in / check-out,Air conditioning,Desk,Fireplace,Housekeeping,Coffee / tea maker,Refrigerator,Cable / satellite TV,Bath / shower,Safe,Telephone,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Art Deco Style,Classic","171 W. Randolph Street, Chicago, IL 60601",The Allegro Royal Sonesta Hotel Chicago Loop,€189,4.0
